City	State	Rank	Year	Cost of Living Index	Rent Index	Cost of Living Plus Rent Index	Groceries Index	Restaurant Price Index	Local Purchasing Power Index
Honolulu	 HI	1	2014	106.27	69.65	88.47	136.8	79.01	80.71
Washington	 DC	2	2014	100.38	71.5	86.35	103.04	94.95	106.57
New York	 NY	3	2014	100	100	100	100	100	100
Anchorage	 AK	4	2014	98.99	44.55	72.54	106.43	85.07	165.82
San Francisco	 CA	5	2014	93.66	94.98	94.3	109.18	87.15	103.91
Roanoke	 VA	6	2014	93.16	25.35	60.21	110.35	72.03	126.93
Boston	 MA	7	2014	92.94	70.13	81.86	100.37	83.88	115.63
Richmond	 VA	8	2014	91.98	35.18	64.38	101.74	81.97	135.74
Seattle	 WA	9	2014	91.63	55.05	73.86	100.43	81.7	115.27
Sacramento	 CA	10	2014	91.1	35.8	64.23	101.25	71.01	128.24
Hartford	 CT	11	2014	90.72	39.89	66.03	107.98	78.29	127.45
Philadelphia	 PA	12	2014	90.09	49.73	70.48	104.47	76.18	122.61
Minneapolis	 MN	13	2014	89.18	40.66	65.61	97.68	73.91	114.6
Saint Petersburg	 FL	14	2014	88.71	37.78	63.97	100.46	64.7	84.56
San Jose	 CA	15	2014	87.39	72.12	79.97	96.06	76.2	129.95
Honolulu	 HI	1	2015	104.23	64.92	85.02	119.41	85.11	68.7
New York	 NY	2	2015	100	100	100	100	100	100
Anchorage	 AK	3	2015	99.75	39.98	70.54	110.64	90.85	146.17
San Francisco	 CA	4	2015	97	96.07	96.54	111.86	99.17	116.72
Stamford	 CT	5	2015	96.22	62.65	79.82	108.93	90.06	127.65
Washington	 DC	6	2015	96.02	69.88	83.25	94.01	96.31	130.91
Seattle	 WA	7	2015	90.71	59.12	75.27	100.71	82.07	124.49
Cleveland	 OH	8	2015	90.35	27.3	59.54	99.28	63.62	121.76
Houston	 TX	9	2015	89.86	50.68	70.71	88.1	83.3	121.27
Knoxville	 TN	10	2015	89.64	31.04	61	117.22	61.01	86.43
Hartford	 CT	11	2015	89.47	37.84	64.24	106.98	73.86	136.28
Boston	 MA	12	2015	89.37	70.53	80.16	94.57	83.34	118.78
Fairfax	 VA	13	2015	89.19	55.6	72.78	86.45	84.71	122.22
Philadelphia	 PA	14	2015	88.57	52.9	71.14	100.58	71.78	109.99
Sacramento	 CA	15	2015	88.21	34.72	62.07	94.86	76.06	145.3
San Francisco	 CA	1	2016	103.36	121.64	112.15	122.07	90.89	105.83
New York	 NY	2	2016	100	100	100	100	100	100
Honolulu	 HI	3	2016	99.72	64.46	82.78	115	84.75	99.75
Washington	 DC	4	2016	96.18	72.17	84.64	89.47	90.03	119.13
Anchorage	 AK	5	2016	93.85	42.5	69.17	106.07	79.14	163.81
Allentown	 PA	6	2016	92.69	34.27	64.61	100.49	73.23	83.96
Albany	 NY	7	2016	90.13	28.97	60.74	106.24	80.47	152.24
Stamford	 CT	8	2016	89.25	64.2	77.21	96.64	82.15	148.8
Queens	 NY	9	2016	89.07	55.4	72.89	93.65	77.07	144.77
Las Vegas	 NV	10	2016	88.05	30.01	60.16	91.61	83.55	116.52
Brooklyn	 NY	11	2016	86.85	81.81	84.43	84.17	94.76	115.33
Fort Collins	 CO	12	2016	86.12	39	63.48	93.93	78.88	94.99
Chicago	 IL	13	2016	85.14	53.41	69.89	87.03	85.01	127.65
Boston	 MA	14	2016	84.7	75.31	80.19	86.18	82.81	124.49
Anaheim	 CA	15	2016	83.81	49.63	67.38	89.61	80.49	140.75
New York	 NY	1	2017	100	100	100	100	100	100
Honolulu	 HI	2	2017	99.54	67.28	84.08	106.51	87.51	85.56
San Francisco	 CA	3	2017	99.14	125.79	111.92	110.16	91.99	96.76
Anchorage	 AK	4	2017	98.69	44.49	72.71	99.8	84.06	136.45
Washington	 DC	5	2017	95.34	80.69	88.32	91.28	89.65	110.15
New Haven	 CT	6	2017	93.75	48.36	72	108.07	94.52	121.84
Berkeley	 CA	7	2017	91.77	77.68	85.02	102.21	78.8	99.25
Santa Cruz	 CA	8	2017	91.76	69.34	81.01	102.62	73.04	121.28
Brooklyn	 NY	9	2017	91.25	79.24	85.49	86.17	104.31	96.19
Seattle	 WA	10	2017	90.54	65.77	78.67	93.9	79.85	119.76
Arlington	 VA	11	2017	89.52	70.62	80.46	84.67	87.73	127.26
Boston	 MA	12	2017	89.4	77.51	83.7	90.68	90.96	131.75
Akron	 OH	13	2017	88.53	22.83	57.05	99.03	69.28	74.48
Oakland	 CA	14	2017	88.21	83.51	85.96	91.72	87.79	88.89
Santa Rosa	 CA	15	2017	86.68	54.64	71.32	86.35	77.61	105.42
