City	Rank	Year	Cost_of_Living_Index	Rent_Index	Cost_of_Living_Plus_Rent_Index	Groceries_Index	Restaurant_Price_Index	Local_Purchasing_Power_Index	Unemployment_Rate
"Atlanta, GA"	46	2015	75.7	34.56	55.6	76.56	70.01	156.21	5.7
"Atlanta, GA"	53	2016	75.7	38.05	57.6	76.89	70.45	139.39	5.1
"Atlanta, GA"	58	2017	76.09	44.01	60.72	76.45	74.11	148.36	4.5
"Austin, TX"	20	2014	84.91	44.67	65.36	95	69.64	116.5	4.2
"Austin, TX"	36	2015	78.26	46.63	62.81	83.18	74.05	136.39	3.4
"Austin, TX"	74	2016	70.23	50.35	60.67	67.42	69.53	139.16	3.3
"Austin, TX"	72	2017	74.07	51.35	63.18	73.6	71.27	126.85	3.1
"Boston, MA"	7	2014	92.94	70.13	81.86	100.37	83.88	115.63	5.2
"Boston, MA"	12	2015	89.37	70.53	80.16	94.57	83.34	118.78	4.3
"Boston, MA"	14	2016	84.7	75.31	80.19	86.18	82.81	124.49	3.5
"Boston, MA"	12	2017	89.4	77.51	83.7	90.68	90.96	131.75	3.4
"Chicago, IL"	25	2014	81.01	55.26	68.5	84.3	74.23	117.29	7.1
"Chicago, IL"	31	2015	79.65	54.73	67.47	83.53	74.25	127.49	5.9
"Chicago, IL"	13	2016	85.14	53.41	69.89	87.03	85.01	127.65	5.8
"Chicago, IL"	21	2017	84.51	58.68	72.13	80.88	82.58	122.99	4.9
"Cleveland, OH"	16	2014	87.06	30.79	59.72	94.33	71.09	117.87	6
"Cleveland, OH"	8	2015	90.35	27.3	59.54	99.28	63.62	121.76	5
"Cleveland, OH"	33	2016	79.08	28.35	54.7	79.74	73.34	140.42	5.4
"Cleveland, OH"	47	2017	78.31	34	57.08	77.55	70.58	116.16	5.7
"Dallas, TX"	36	2014	77.59	42.9	60.73	75.82	68.16	141.24	5
"Dallas, TX"	41	2015	77.12	39.59	58.78	75.68	69.85	160.43	4.1
"Dallas, TX"	64	2016	72.42	39.47	56.58	71.65	68.41	159.75	3.9
"Dallas, TX"	94	2017	70.2	42.11	56.74	65.29	70.5	163.48	3.6
"Denver, CO"	22	2014	82.1	44.11	63.64	92.13	69.06	133.98	4.8
"Denver, CO"	35	2015	78.59	43.63	61.51	79.6	70.52	130.06	3.7
"Denver, CO"	37	2016	78.17	52.33	65.75	78.37	75.37	127.51	3.1
"Denver, CO"	30	2017	82.6	54.68	69.22	82.51	74.62	139.95	2.7
"Hartford, CT"	11	2014	90.72	39.89	66.03	107.98	78.29	127.45	6.6
"Hartford, CT"	11	2015	89.47	37.84	64.24	106.98	73.86	136.28	5.7
